region_name,mean_light,sum_light,年,GDP
埼玉県,6.63075978927661,31210.986328125,2015,40642325.0
大分県,0.7880673772893924,5991.67626953125,2015,9781575.0
大阪府,16.69623837586505,38601.703125,2015,68471226.0
奈良県,1.4045739958342622,6300.9189453125,2015,6299134.0
宮城県,1.453001631485659,13525.9921875,2015,16978351.0
宮崎県,0.4808065613405718,4406.111328125,2015,6512544.0
富山県,1.2292529636916525,6531.02099609375,2015,8773277.0
山口県,0.838810821970465,6205.5224609375,2015,12630777.0
山形県,0.671641664592938,8012.68505859375,2015,7437301.0
山梨県,0.908058960713638,5007.037109375,2015,6247051.0
岐阜県,0.9728401558687862,12759.771484375,2015,14266596.0
岡山県,1.0795832165142627,9385.896484375,2015,16403731.0
岩手県,0.3800584304073883,7543.77978515625,2015,8761111.0
島根県,0.4171218435998875,3429.992919921875,2015,4250117.0
広島県,1.1676345658327687,12065.16796875,2015,23338959.0
徳島県,0.7079019336951907,3543.757080078125,2015,5268528.0
愛媛県,0.7642131585772253,5202.76318359375,2015,10021323.0
愛知県,7.995064525189215,50704.69921875,2015,78458296.0
新潟県,0.7432812377045955,11807.0224609375,2015,16062693.0
東京都,18.032152784238928,48452.39453125,2015,183308046.0
栃木県,1.5772538272077192,12627.494140625,2015,17746547.0
沖縄県,0.0,0.0,2015,7175532.0
滋賀県,1.6616195061661756,8176.82958984375,2015,13013135.0
熊本県,0.8934987875629883,7890.48779296875,2015,10180550.0
石川県,1.2351339994449484,6467.16162109375,2015,8532601.0
神奈川県,11.325071763543068,33658.11328125,2015,61595533.0
福井県,0.8608186550747348,4463.3447265625,2015,6076274.0
福岡県,3.863574300334169,23123.4921875,2015,35503717.0
福島県,0.6518938754168583,11337.73828125,2015,15306242.0
秋田県,0.4676896188931329,7086.43310546875,2015,5908399.0
群馬県,1.3358814111414417,10582.8525390625,2015,17490097.0
茨城県,2.614401625329598,19830.236328125,2015,25979175.0
長崎県,1.0587099839872909,5248.025390625,2015,7856330.0
長野県,0.6662398340017825,11212.81640625,2015,14970119.0
青森県,0.8071939364172611,10297.373046875,2015,7718952.0
静岡県,1.9591512228118104,18645.2421875,2015,33064973.0
香川県,1.9246778640071904,4349.77197265625,2015,7276814.0
高知県,0.4585849319828167,3913.105224609375,2015,4071751.0
鳥取県,0.5563149157429382,2402.72412109375,2015,3197225.0
鹿児島県,0.5377954732217525,5787.7548828125,2015,9544241.0
三重県,1.5363973387628242,10782.4365234375,2016,18222982.0
京都府,1.8638460381337216,10551.232421875,2016,17661982.0
佐賀県,1.3813177973246402,4032.066650390625,2016,5335296.0
兵庫県,2.49837666776028,25700.80078125,2016,39165365.0
北海道,0.783836053717212,90156.0390625,2016,33595929.0
千葉県,4.86254690454617,30857.72265625,2016,38091514.0
和歌山県,0.8374660996731309,4771.8818359375,2016,6872457.0
埼玉県,6.252661843398131,29431.279296875,2016,40727036.0
大分県,0.8032333813543996,6106.9833984375,2016,9298441.0
大阪府,16.95782871972318,39206.5,2016,68015134.0
奈良県,1.428309623864523,6407.39697265625,2016,6341876.0
宮城県,1.3835774687130733,12879.72265625,2016,17068241.0
宮崎県,0.448051169573194,4105.94091796875,2016,6590130.0
富山県,1.1660186578027951,6195.05712890625,2016,8671993.0
山口県,0.8368126837489862,6190.740234375,2016,12347122.0
山形県,0.6347393486745599,7572.4404296875,2016,7659956.0
山梨県,0.8826326488540533,4866.83642578125,2016,6258722.0
岐阜県,0.9154313702014716,12006.7978515625,2016,14385194.0
岡山県,1.0823277907177364,9409.7578125,2016,15881940.0
岩手県,0.3567657493765429,7081.443359375,2016,8820061.0
島根県,0.3819992323361303,3141.1796875,2016,4315641.0
広島県,1.1509021082333302,11892.271484375,2016,23030633.0
徳島県,0.7094534410270176,3551.52392578125,2016,5282986.0
愛媛県,0.7310823290384474,4977.20849609375,2016,9984603.0
愛知県,7.706309991918953,48873.41796875,2016,79212837.0
新潟県,0.7354084902226944,11681.9638671875,2016,15863055.0
東京都,17.234473855601042,46309.03125,2016,183866463.0
栃木県,1.4719365749125657,11784.32421875,2016,17898885.0
沖縄県,0.0,0.0,2016,7432337.0
滋賀県,1.6616962063096932,8177.20703125,2016,12985372.0
熊本県,0.8546874778833088,7547.7451171875,2016,10655270.0
石川県,1.2092078130968296,6331.412109375,2016,8608215.0
神奈川県,10.689537243438762,31769.3046875,2016,61169792.0
福井県,0.8164205641272902,4233.140625,2016,6058652.0
福岡県,3.92827185150376,23510.70703125,2016,35926554.0
福島県,0.589735829512132,10256.685546875,2016,15410216.0
秋田県,0.4945710936468783,7493.7412109375,2016,5968036.0
群馬県,1.2298040662080283,9742.5078125,2016,17565376.0
茨城県,2.44160864370468,18519.6015625,2016,25614356.0
長崎県,1.0351180306889247,5131.080078125,2016,7813552.0
長野県,0.6252681920306001,10523.263671875,2016,15120618.0
青森県,0.9102494126998902,11612.0517578125,2016,7761566.0
静岡県,1.867959761151098,17777.373046875,2016,33372591.0
